"Date(UTC)","UnixTimeStamp","Value (Wei)"
"1/21/2021","1611187200","20402129112"
"1/22/2021","1611273600","19846432026"
"1/23/2021","1611360000","21179460021"
"1/24/2021","1611446400","20488573180"
"1/25/2021","1611532800","21178828437"
"1/26/2021","1611619200","20799285465"
"1/27/2021","1611705600","21095128408"
"1/28/2021","1611792000","21344823125"
"1/29/2021","1611878400","21086430287"
"1/30/2021","1611964800","21508668052"
"1/31/2021","1612051200","21338142879"
"2/1/2021","1612137600","22424109503"
"2/2/2021","1612224000","21376281941"
"2/3/2021","1612310400","21130192742"
"2/4/2021","1612396800","22499096028"
"2/5/2021","1612483200","21098871313"
"2/6/2021","1612569600","21753880007"
"2/7/2021","1612656000","25547656904"
"2/8/2021","1612742400","23355215311"
"2/9/2021","1612828800","23241423428"
"2/10/2021","1612915200","23635658849"
"2/11/2021","1613001600","18522550175"
"2/12/2021","1613088000","21200783582"
"2/13/2021","1613174400","19613105550"
"2/14/2021","1613260800","21638303781"
"2/15/2021","1613347200","18721389495"
"2/16/2021","1613433600","21792825112"
"2/17/2021","1613520000","22095589237"
"2/18/2021","1613606400","22294694604"
"2/19/2021","1613692800","25440887900"
"2/20/2021","1613779200","23549967616"
"2/21/2021","1613865600","22420685606"
"2/22/2021","1613952000","28707401025"
"2/23/2021","1614038400","22809134696"
"2/24/2021","1614124800","22777609929"
"2/25/2021","1614211200","670772255409"
"2/26/2021","1614297600","21369663029"
"2/27/2021","1614384000","22874358209"
"2/28/2021","1614470400","21796443062"
"3/1/2021","1614556800","21818327802"
"3/2/2021","1614643200","22060431125"
"3/3/2021","1614729600","22224402507"
"3/4/2021","1614816000","22277418330"
"3/5/2021","1614902400","22306953442"
"3/6/2021","1614988800","22207765405"
"3/7/2021","1615075200","23256058890"
"3/8/2021","1615161600","28057467497"
"3/9/2021","1615248000","23301663094"
"3/10/2021","1615334400","21999054339"
"3/11/2021","1615420800","22822034246"
"3/12/2021","1615507200","23852986706"
"3/13/2021","1615593600","23147254524"
"3/14/2021","1615680000","22355060735"
"3/15/2021","1615766400","24395659390"
"3/16/2021","1615852800","21985876990"
"3/17/2021","1615939200","21748550207"
"3/18/2021","1616025600","22696434278"
"3/19/2021","1616112000","21322182216"
"3/20/2021","1616198400","21810901783"
"3/21/2021","1616284800","23083042166"
"3/22/2021","1616371200","9249290048"
"3/23/2021","1616457600","5529833192"
"3/24/2021","1616544000","53417830193"
"3/25/2021","1616630400","30417193628"
"3/26/2021","1616716800","33795680507"
"3/27/2021","1616803200","21874749794"
"3/28/2021","1616889600","22627717318"
"3/29/2021","1616976000","31362382767"
"3/30/2021","1617062400","22331791927"
"3/31/2021","1617148800","15253885497"
"4/1/2021","1617235200","14346837781"
"4/2/2021","1617321600","16860710690"
"4/3/2021","1617408000","16268469866"
"4/4/2021","1617494400","16275900780"
"4/5/2021","1617580800","16935353739"
"4/6/2021","1617667200","16010343171"
"4/7/2021","1617753600","16234985032"
"4/8/2021","1617840000","17879166946"
"4/9/2021","1617926400","16957964191"
"4/10/2021","1618012800","11115832138"
"4/11/2021","1618099200","16669347584"
"4/12/2021","1618185600","17848836749"
"4/13/2021","1618272000","15814502249"
"4/14/2021","1618358400","16944774630"
"4/15/2021","1618444800","16941563631"
"4/16/2021","1618531200","19151618627"
"4/17/2021","1618617600","14138009174"
"4/18/2021","1618704000","8072089093"
"4/19/2021","1618790400","8903461785"
"4/20/2021","1618876800","5860695613"
"4/21/2021","1618963200","4097474522"
"4/22/2021","1619049600","4494412451"
"4/23/2021","1619136000","152047160982"
"4/24/2021","1619222400","126856075185"
"4/25/2021","1619308800","13963036985"
"4/26/2021","1619395200","5833063202"
"4/27/2021","1619481600","6175336717"
"4/28/2021","1619568000","8733929816"
"4/29/2021","1619654400","4436972273"
"4/30/2021","1619740800","5334549570"
"5/1/2021","1619827200","2645462651"
"5/2/2021","1619913600","1621199782"
"5/3/2021","1620000000","4052123323"
"5/4/2021","1620086400","6620017908"
"5/5/2021","1620172800","6932367274"
"5/6/2021","1620259200","20725876754"
"5/7/2021","1620345600","9604641716"
"5/8/2021","1620432000","9798851289"
"5/9/2021","1620518400","10933793850"
"5/10/2021","1620604800","15553956139"
"5/11/2021","1620691200","14966020965"
"5/12/2021","1620777600","13268528292"
"5/13/2021","1620864000","17438732696"
"5/14/2021","1620950400","13931944864"
"5/15/2021","1621036800","34526177836"
"5/16/2021","1621123200","85684035564"
"5/17/2021","1621209600","111529007466"
"5/18/2021","1621296000","90604729741"
"5/19/2021","1621382400","98192557509"
"5/20/2021","1621468800","108477413901"
"5/21/2021","1621555200","122038536201"
"5/22/2021","1621641600","117308435568"
"5/23/2021","1621728000","181438323114"
"5/24/2021","1621814400","183179037175"
"5/25/2021","1621900800","157154397882"
"5/26/2021","1621987200","152536205023"
"5/27/2021","1622073600","115767007469"
"5/28/2021","1622160000","119784368036"
"5/29/2021","1622246400","74368385714"
"5/30/2021","1622332800","94063899737"
"5/31/2021","1622419200","87848401758"
"6/1/2021","1622505600","71242322447"
"6/2/2021","1622592000","71976382439"
"6/3/2021","1622678400","81342781158"
"6/4/2021","1622764800","81881857889"
